wallet,hour_window,transaction_count,total_value
0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,2025-02-09 18:00:00.000000 UTC,726,523076024453369946585064
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,2025-01-31 20:00:00.000000 UTC,256,452399124994802738414000
0xda9dfa130df4de4673b89022ee50ff26f6ea73cf,2025-01-31 20:00:00.000000 UTC,8,448219680001000000000000
0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,2025-05-15 11:00:00.000000 UTC,311,443010225746102894073037
0x5f397b62502e255f68382791947d54c4b2d37f09,2025-10-01 12:00:00.000000 UTC,5,396589000000000000000000
0x47666fab8bd0ac7003bce3f5c3585383f09486e2,2025-02-21 15:00:00.000000 UTC,100,390000075807400178011867
0x28c6c06298d514db089934071355e5743bf21d60,2025-07-01 13:00:00.000000 UTC,692,363584392984136328410023
0x109be9d7d5f64c8c391ced3a8f69bdef20fcaea9,2025-04-09 12:00:00.000000 UTC,2,355000000010000000000000
0xa6dfb62fc572da152a335384f7724535b9defc84,2025-04-09 12:00:00.000000 UTC,1,355000000000000000000000
0x28c6c06298d514db089934071355e5743bf21d60,2025-06-26 06:00:00.000000 UTC,438,345668327915310869891820
